ID;Title;Family;Group;Type;Entity;IsCluster
1;Mustard gas;Nature;Bodies;Molecule;Organic chemicals;False
2;Needle sharing;Science;Disciplines;;;False
3;Epilepsy(frontal lobe);Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
4;Hla-a2 antigen;Technology;Manufactured chemicals;Molecule;Biological factors;False
5;Condylomata acuminata;Nature;Phenomena;Biological phenomenon;Virus diseases;False
6;Multiple endocrine neoplasia;Nature;Phenomena;Biological phenomenon;Neoplasms;False
7;Restraint(physical);Technology;Know-how;Technique;Investigative techniques;False
8;Intervertebral disc;Nature;Bodies;Life component;Musculoskeletal system;False
9;Spinal neoplasms;Nature;Phenomena;Biological phenomenon;Neoplasms;False
10;Mastitis;Nature;Phenomena;Biological phenomenon;Female urogenital diseases and pregnancy complications;False
11;Granulosa cell tumor;Nature;Phenomena;Biological phenomenon;Endocrine system diseases;False
12;Fasting;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
13;Polysaccharides;Nature;Bodies;Molecule;Carbohydrates;False
14;Stiff-person syndrome;Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
15;Azetidinecarboxylic acid;Nature;Bodies;Molecule;Organic chemicals;False
16;Hela cells;Nature;Bodies;Life component;Cells;False
17;Sex-determining region y protein;Nature;Bodies;Molecule;Amino acids(peptides);False
18;Botulinum toxins(type a);Nature;Bodies;Molecule;Enzymes and coenzymes;False
19;Lasers;Technology;Manufactured objects;;;False
20;Hepatocytes;Nature;Bodies;Life component;Cells;False
21;Sex attractants;Technology;Manufactured chemicals;Molecule;Biological factors;False
22;Myelin and lymphocyte-associated proteolipid proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
23;Benzamides;Nature;Bodies;Molecule;Organic chemicals;False
24;Hemiterpenes;Nature;Bodies;Molecule;Organic chemicals;False
25;Fertility preservation;Technology;Know-how;Treatment;Therapeutics;False
26;Genotype;Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
27;Inhibin-beta subunits;Nature;Bodies;Molecule;Hormones(hormone substitutes);False
28;Ranibizumab;Nature;Bodies;Molecule;Amino acids(peptides);False
29;Proteasome endopeptidase complex;Nature;Bodies;Molecule;Enzymes and coenzymes;False
30;Anti-citrullinated protein antibodies;Nature;Bodies;Molecule;Amino acids(peptides);False
31;Contactins;Technology;Manufactured chemicals;Molecule;Biological factors;False
32;Esophageal sphincter(lower);Nature;Bodies;Life component;Digestive system;False
33;Birth intervals;Science;Disciplines;;;False
34;Dual specificity phosphatase 1;Nature;Bodies;Molecule;Amino acids(peptides);False
35;Birds;Nature;Bodies;Organism;Eukaryota;False
36;Apc4 subunit(anaphase-promoting complex-cyclosome);Nature;Bodies;Molecule;Enzymes and coenzymes;False
37;Formyltetrahydrofolates;Nature;Bodies;Molecule;Heterocyclic compounds;False
38;Aluminum compounds;Nature;Bodies;Molecule;Inorganic chemicals;False
39;Phenoxypropanolamines;Nature;Bodies;Molecule;Organic chemicals;False
40;Alpha-thalassemia;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
41;Urinary bladder(overactive);Nature;Phenomena;Biological phenomenon;Female urogenital diseases and pregnancy complications;False
42;Gaba agonists;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
43;Colitis(ischemic);Nature;Phenomena;Biological phenomenon;Digestive system diseases;False
44;Proactive inhibition;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
45;Retinoblastoma-binding protein 4;Nature;Bodies;Molecule;Enzymes and coenzymes;False
46;Shamanism;Science;Disciplines;;;False
47;Myelin sheath;Nature;Bodies;Life component;Cells;False
48;Potassium radioisotopes;Nature;Bodies;Molecule;Inorganic chemicals;False
49;Cytochrome p-450 cyp2c8 inhibitors;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
50;Gerstmann-straussler-scheinker disease;Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
51;Sinorhizobium meliloti;Nature;Bodies;Organism;Bacteria;False
52;Catheterization(peripheral);Technology;Know-how;Technique;Investigative techniques;False
53;Activin receptors;Nature;Bodies;Molecule;Enzymes and coenzymes;False
54;Betaxanthins;Nature;Bodies;Molecule;Heterocyclic compounds;False
55;Fibrillins;Nature;Bodies;Molecule;Amino acids(peptides);False
56;Root nodules(plant);Nature;Bodies;Life component;Plant structures;False
57;Frasier syndrome;Nature;Phenomena;Biological phenomenon;Male urogenital diseases;False
58;Muramic acids;Nature;Bodies;Molecule;Organic chemicals;False
59;Cytidine diphosphate diglycerides;Nature;Bodies;Molecule;Nucleic acids(nucleotides);False
60;Cell cycle checkpoints;Nature;Phenomena;Biological phenomenon;Cell physiological phenomena;False
61;Hafnia alvei;Nature;Bodies;Organism;Bacteria;False
62;Encephalitis(arbovirus);Nature;Phenomena;Biological phenomenon;Virus diseases;False
63;Chancre;Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
64;Valproic acid;Nature;Bodies;Molecule;Organic chemicals;False
65;Thyroid cartilage;Nature;Bodies;Life component;Respiratory system;False
66;Conjunctivitis(inclusion);Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
67;Cell migration assays(macrophage);Technology;Know-how;Technique;Investigative techniques;False
68;Lymphoma(aids-related);Nature;Phenomena;Biological phenomenon;Neoplasms;False
69;Pulmonary circulation;Nature;Phenomena;Biological phenomenon;Circulatory and respiratory physiological phenomena;False
70;Wolffian ducts;Nature;Bodies;Life component;Embryonic structures;False
71;Cerebral revascularization;Technology;Know-how;Procedure;Surgical procedures(operative);False
72;Creatine;Nature;Bodies;Molecule;Amino acids(peptides);False
73;Angiotensins;Technology;Manufactured chemicals;Molecule;Biological factors;False
74;Lactobacillus pentosus;Nature;Bodies;Organism;Bacteria;False
75;Leptospira interrogans serovar hebdomadis;Nature;Bodies;Organism;Bacteria;False
76;Dugong;Nature;Bodies;Organism;Eukaryota;False
77;Rna(archaeal);Nature;Bodies;Molecule;Nucleic acids(nucleotides);False
78;Smoke-free policy;Science;Disciplines;;;False
79;Crack cocaine;Nature;Bodies;Molecule;Heterocyclic compounds;False
80;Angiopoietins;Technology;Manufactured chemicals;Molecule;Biological factors;False
81;5'-nucleotidase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
82;Mevalonate kinase deficiency;Nature;Phenomena;Biological phenomenon;Nutritional and metabolic diseases;False
83;Receptor(adenosine a1);Nature;Bodies;Molecule;Amino acids(peptides);False
84;Trichostrongylosis;Nature;Phenomena;Biological phenomenon;Parasitic diseases;False
85;S100 calcium binding protein g;Nature;Bodies;Molecule;Amino acids(peptides);False
86;Electron transport complex iii;Nature;Bodies;Molecule;Amino acids(peptides);False
87;Roseolovirus infections;Nature;Phenomena;Biological phenomenon;Virus diseases;False
88;Forkhead box protein o3;Nature;Bodies;Molecule;Amino acids(peptides);False
89;Nerium;Nature;Bodies;Organism;Eukaryota;False
90;Polarography;Technology;Know-how;Technique;Investigative techniques;False
91;Ceftizoxime;Nature;Bodies;Molecule;Organic chemicals;False
92;Somatostatin-secreting cells;Nature;Bodies;Life component;Tissues;False
93;Kidney function tests;Technology;Know-how;Process;Diagnosis;False
94;Organisms(genetically modified);Nature;Bodies;Organism;Organism forms;False
95;Omega-conotoxins;Technology;Manufactured chemicals;Molecule;Biological factors;False
96;Limb salvage;Technology;Know-how;Procedure;Surgical procedures(operative);False
97;Linolenic acids;Nature;Bodies;Molecule;Lipids;False
98;Braces;Technology;Manufactured objects;;;False
99;Microbial viability;Nature;Phenomena;Biological phenomenon;Microbiological phenomena;False
100;Physalaemin;Technology;Manufactured chemicals;Molecule;Biological factors;False
101;Iron-binding proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
102;Oxysterols;Nature;Bodies;Molecule;Polycyclic compounds;False
103;Anemia(refractory);Nature;Phenomena;Biological phenomenon;Hemic and lymphatic diseases;False
104;Chemokine ccl1;Nature;Bodies;Molecule;Amino acids(peptides);False
105;Claudin-4;Nature;Bodies;Molecule;Amino acids(peptides);False
106;Receptor(trka);Nature;Bodies;Molecule;Amino acids(peptides);False
107;Monoiodotyrosine;Nature;Bodies;Molecule;Amino acids(peptides);False
108;Periodontics;Technology;Know-how;;;False
109;Ischemic contracture;Nature;Phenomena;Biological phenomenon;Cardiovascular diseases;False
110;Therapeutics;Technology;Know-how;Treatment;Therapeutics;True
111;Endothelin-3;Technology;Manufactured chemicals;Molecule;Biological factors;False
112;Chlamydia infections;Nature;Phenomena;Biological phenomenon;Female urogenital diseases and pregnancy complications;False
113;Abetalipoproteinemia;Nature;Phenomena;Biological phenomenon;Nutritional and metabolic diseases;False
114;Dialysis solutions;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
115;Intracranial hemorrhages;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
116;Euthanasia(active);Science;Disciplines;;;False
117;Vaginal absorption;Nature;Phenomena;Biological phenomenon;Metabolism;False
118;Interferon-stimulated gene factor 3(alpha subunit);Nature;Bodies;Molecule;Amino acids(peptides);False
119;Mollusca;Nature;Bodies;Organism;Eukaryota;False
120;Bladder exstrophy;Nature;Phenomena;Biological phenomenon;Male urogenital diseases;False
121;Focal adhesion protein-tyrosine kinases;Nature;Bodies;Molecule;Enzymes and coenzymes;False
122;Fanconi anemia complementation group n protein;Nature;Bodies;Molecule;Amino acids(peptides);False
123;Beta-cryptoxanthin;Nature;Bodies;Molecule;Organic chemicals;False
124;Methamphetamine;Nature;Bodies;Molecule;Organic chemicals;False
125;Lipothrixviridae;Nature;Bodies;Organism;Viruses;False
126;Adenoma;Nature;Phenomena;Biological phenomenon;Neoplasms;False
127;Blastodisc;Nature;Bodies;Life component;Embryonic structures;False
128;Staurosporine;Nature;Bodies;Molecule;Heterocyclic compounds;False
129;Clitoria;Nature;Bodies;Organism;Eukaryota;False
130;Signal recognition particle;Nature;Bodies;Molecule;Amino acids(peptides);False
131;Hemorrhagic fever(ebola);Nature;Phenomena;Biological phenomenon;Virus diseases;False
132;Spectral karyotyping;Technology;Know-how;Technique;Investigative techniques;False
133;Caspase 10;Nature;Bodies;Molecule;Enzymes and coenzymes;False
134;Streptococcaceae;Nature;Bodies;Organism;Bacteria;False
135;4-hydroxyaminoquinoline-1-oxide;Nature;Bodies;Molecule;Heterocyclic compounds;False
136;Ditiocarb;Nature;Bodies;Molecule;Organic chemicals;False
137;Thermus thermophilus;Nature;Bodies;Organism;Bacteria;False
138;Santalum;Nature;Bodies;Organism;Eukaryota;False
139;Guanosine 5'-o-(3-thiotriphosphate);Nature;Bodies;Molecule;Nucleic acids(nucleotides);False
140;Butorphanol;Nature;Bodies;Molecule;Heterocyclic compounds;False
141;Benzothiazoles;Nature;Bodies;Molecule;Heterocyclic compounds;False
142;Tumor necrosis factor receptor superfamily(member 7);Nature;Bodies;Molecule;Amino acids(peptides);False
143;Thermoactinomyces;Nature;Bodies;Organism;Bacteria;False
144;Cryptorchidism;Nature;Phenomena;Biological phenomenon;Endocrine system diseases;False
145;Ligation;Technology;Know-how;Procedure;Surgical procedures(operative);False
146;Abbreviated injury scale;Technology;Know-how;Technique;Investigative techniques;False
147;Hepatitis d(chronic);Nature;Phenomena;Biological phenomenon;Virus diseases;False
148;Chemotherapy(cancer);Technology;Know-how;Procedure;Surgical procedures(operative);False
149;Vitamin d;Nature;Bodies;Molecule;Polycyclic compounds;False
150;Iridoid glucosides;Nature;Bodies;Molecule;Organic chemicals;False
151;Chemokine cxcl12;Technology;Manufactured chemicals;Molecule;Biological factors;False
152;Lung neoplasms;Nature;Phenomena;Biological phenomenon;Respiratory tract diseases;False
153;Methylglucosides;Nature;Bodies;Molecule;Carbohydrates;False
154;Parenteral nutrition;Technology;Know-how;Treatment;Therapeutics;False
155;Pain(intractable);Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
156;Nalorphine;Nature;Bodies;Molecule;Polycyclic compounds;False
157;Tuberculosis(splenic);Nature;Phenomena;Biological phenomenon;Hemic and lymphatic diseases;False
158;Crotalid venoms;Technology;Manufactured chemicals;Molecule;Complex mixtures;False
159;Severe combined immunodeficiency;Nature;Phenomena;Biological phenomenon;Immune system diseases;False
160;Asthma(occupational);Nature;Phenomena;Biological phenomenon;Respiratory tract diseases;False
161;Serotonin uptake inhibitors;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
162;Renal elimination;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
163;Furunculosis;Nature;Phenomena;Biological phenomenon;Animal diseases;False
164;Multiple sclerosis;Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
165;Nitrobacter;Nature;Bodies;Organism;Bacteria;False
166;Injection site reaction;Nature;Phenomena;Biological phenomenon;Chemically-induced disorders;False
167;Haemosporida;Nature;Bodies;Organism;Eukaryota;False
168;Meningitis(pneumococcal);Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
169;Rubus;Nature;Bodies;Organism;Eukaryota;False
170;Receptors(fibronectin);Nature;Bodies;Molecule;Amino acids(peptides);False
171;Rubella;Nature;Phenomena;Biological phenomenon;Virus diseases;False
172;Botulinum antitoxin;Technology;Manufactured chemicals;Molecule;Complex mixtures;False
173;Ac133 antigen;Nature;Bodies;Molecule;Amino acids(peptides);False
174;Ganglia;Nature;Bodies;Life component;Nervous system;False
175;Reperfusion;Technology;Know-how;Technique;Investigative techniques;False
176;Periosteum;Nature;Bodies;Life component;Tissues;False
177;Patellar ligament;Nature;Bodies;Life component;Musculoskeletal system;False
178;Pituitary gland;Nature;Bodies;Life component;Endocrine system;False
179;Wettability;Nature;Phenomena;;;False
180;In situ hybridization(fluorescence);Technology;Know-how;Technique;Investigative techniques;False
181;Malignant hyperthermia;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
182;Sulfur compounds;Nature;Bodies;Molecule;Inorganic chemicals;False
183;Achondroplasia;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
184;Tuberculosis(renal);Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
185;Postpoliomyelitis syndrome;Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
186;Sodium-glucose transporter 1;Nature;Bodies;Molecule;Amino acids(peptides);False
187;Nystagmus(physiologic);Nature;Phenomena;Biological phenomenon;Ocular physiological phenomena;False
188;Breast neoplasms(male);Nature;Phenomena;Biological phenomenon;Neoplasms;False
189;Actinium;Nature;Bodies;Molecule;Inorganic chemicals;False
190;Skin cream;Technology;Know-how;Treatment;Therapeutics;False
191;Electroacupuncture;Technology;Know-how;Treatment;Therapeutics;False
192;Aids vaccines;Technology;Manufactured chemicals;Molecule;Complex mixtures;False
193;Cytochrome p450 family 6;Nature;Bodies;Molecule;Amino acids(peptides);False
194;Amino acid transport system a;Nature;Bodies;Molecule;Amino acids(peptides);False
195;Dual specificity phosphatase 3;Nature;Bodies;Molecule;Enzymes and coenzymes;False
196;Euglenozoa infections;Nature;Phenomena;Biological phenomenon;Parasitic diseases;False
197;Carnitine o-palmitoyltransferase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
198;Central nervous system venous angioma;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
199;Tonsillar neoplasms;Nature;Phenomena;Biological phenomenon;Otorhinolaryngologic diseases;False
200;Pregnenolone;Nature;Bodies;Molecule;Polycyclic compounds;False
201;Chlorophenols;Nature;Bodies;Molecule;Organic chemicals;False
202;Anti-infective agents;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
